,Unicode,Character
1,\u4E00,一
2,\u4E01,丁
3,\u4E02,丂
4,\u4E03,七
5,\u4E04,丄
6,\u4E05,丅
7,\u4E06,丆
8,\u4E07,万
9,\u4E08,丈
10,\u4E09,三
11,\u4E0A,上
12,\u4E0B,下
13,\u4E0C,丌
14,\u4E0D,不
15,\u4E0E,与
16,\u4E0F,丏
17,\u4E10,丐
18,\u4E11,丑
19,\u4E12,丒
20,\u4E13,专
21,\u4E14,且
22,\u4E15,丕
23,\u4E16,世
24,\u4E17,丗
25,\u4E18,丘
26,\u4E19,丙
27,\u4E1A,业
28,\u4E1B,丛
29,\u4E1C,东
30,\u4E1D,丝
31,\u4E1E,丞
32,\u4E1F,丟
33,\u4E20,丠
34,\u4E21,両
35,\u4E22,丢
36,\u4E23,丣
37,\u4E24,两
38,\u4E25,严
39,\u4E26,並
40,\u4E27,丧
41,\u4E28,丨
42,\u4E29,丩
43,\u4E2A,个
44,\u4E2B,丫
45,\u4E2C,丬
46,\u4E2D,中
47,\u4E2E,丮
48,\u4E2F,丯
49,\u4E30,丰
50,\u4E31,丱
51,\u4E32,串
52,\u4E33,丳
53,\u4E34,临
54,\u4E35,丵
55,\u4E36,丶
56,\u4E37,丷
57,\u4E38,丸
58,\u4E39,丹
59,\u4E3A,为
60,\u4E3B,主
61,\u4E3C,丼
62,\u4E3D,丽
63,\u4E3E,举
64,\u4E3F,丿
65,\u4E40,乀
66,\u4E41,乁
67,\u4E42,乂
68,\u4E43,乃
69,\u4E44,乄
70,\u4E45,久
71,\u4E46,乆
72,\u4E47,乇
73,\u4E48,么
74,\u4E49,义
75,\u4E4A,乊
76,\u4E4B,之
77,\u4E4C,乌
78,\u4E4D,乍
79,\u4E4E,乎
80,\u4E4F,乏
81,\u4E50,乐
82,\u4E51,乑
83,\u4E52,乒
84,\u4E53,乓
85,\u4E54,乔
86,\u4E55,乕
87,\u4E56,乖
88,\u4E57,乗
89,\u4E58,乘
90,\u4E59,乙
91,\u4E5A,乚
92,\u4E5B,乛
93,\u4E5C,乜
94,\u4E5D,九
95,\u4E5E,乞
96,\u4E5F,也
97,\u4E60,习
98,\u4E61,乡
99,\u4E62,乢
100,\u4E63,乣
101,\u4E64,乤
102,\u4E65,乥
103,\u4E66,书
104,\u4E67,乧
105,\u4E68,乨
106,\u4E69,乩
